"","name_of_sat","country_of_contractor","users","purpose","class_of_orbit","launch_site","GEO","LEO","MEO","Guiana","Baikonur","Cape","Vandenberg","Xichang","Commercial","Government","Military","Civil","Communication","EObs","TechDev","GPS","SpScience","TechDemo","Martime"
"210","CUSat-1","USA","Civil","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"211","DAMPE","China","Government","Space Science","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"212","DCBB","China","Civil","Technology Development","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"213","Deimos 1","United Kingdom","Government","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"214","Deimos 2","South Korea","Government","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"215","Delfi-C3","Netherlands","Civil","Technology Development","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"216","DirecTV-10","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"217","DirecTV-12","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"218","DirecTV-14","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"219","DirecTV-15","Germany/France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"220","DirecTV-4S","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"221","DirecTV-5","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"222","DirecTV-8","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"223","DirecTV-9S","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"224","USA 131","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"225","USA 147","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"226","USA 172","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"227","USA 173","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"228","USA 210","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"229","Dove 1c-1","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"230","Dove 1c-10","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"231","Dove 1c-11","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"232","Dove 1c-2","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"233","Dove 1c-3","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"234","Dove 1c-4","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"235","Dove 1c-5","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"236","Dove 1c-6","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"237","Dove 1c-7","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"238","Dove 1c-8","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"239","Dove 1c-9","USA","Commercial","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"240","Dove 2p-1","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"241","Dove 2p-2","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"242","Dove 2p-3","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"243","Dove 2p-4","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"244","Dove 2p-5","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"245","Dove 2p-6","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"246","Dove 2p-7","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"247","Dove 2p-8","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"248","Dove 2p-9","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"249","Dove 2p-10","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"250","Dove 2p-11","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"251","Dove 2p-12","USA","Commercial","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"252","Dove-3","USA","Commercial","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"253","USA 167","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"254","USA 170","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"255","USA 135","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"256","USA 148","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"257","USA 153","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"258","USA 113","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"259","USA 130","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"260","USA 149","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"261","USA 159","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"262","USA 176","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"263","DubaiSat-1","South Korea","Government","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"264","DubaiSat-2","South Korea","Government","Earth Observation","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"265","Duchifat-1","Israel","Civil","Communications","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"266","DX-1","Russia","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"267","Echostar 1","USA","Commercial","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"268","Echostar 12","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"269","Echostar 14","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"270","Echostar 15","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"271","Echostar 16","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
